epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.6718,0.89118,2.39653,1.32216,0.57473,0.42842,0.44779,0.33966,0.89781,8.58224,1.0791,0.000221762,0.000221762,0.000221762
2,94.7527,0.90475,1.46426,1.31993,0.642,0.4939,0.47603,0.33311,1.08095,7.54743,1.25116,0.000439699,0.000439699,0.000439699
3,138.609,0.91882,1.41358,1.32521,0.7709,0.44342,0.51615,0.37647,0.97317,5.13593,1.12482,0.000653233,0.000653233,0.000653233
4,183.036,0.89673,1.40392,1.32317,0.54589,0.52087,0.51485,0.38019,0.92942,8.19429,1.06976,0.00064719,0.00064719,0.00064719
5,227.48,0.85319,1.31427,1.29196,0.66799,0.51306,0.53672,0.40072,0.93091,5.2092,1.07361,0.000640587,0.000640587,0.000640587
6,271.889,0.86298,1.27112,1.30522,0.64219,0.58221,0.57971,0.43862,0.84512,3.78849,1.02585,0.000633983,0.000633983,0.000633983
7,316.609,0.80402,1.23152,1.26453,0.64245,0.56857,0.56251,0.44361,0.8053,6.24367,0.97904,0.00062738,0.00062738,0.00062738
8,361.309,0.80458,1.14273,1.26088,0.62844,0.57851,0.58266,0.45753,0.84516,4.23651,1.00462,0.000620777,0.000620777,0.000620777
9,405.568,0.80082,1.12031,1.25553,0.7691,0.56457,0.59628,0.47314,0.82237,2.17828,0.94987,0.000614174,0.000614174,0.000614174
10,449.818,0.77737,1.06057,1.23425,0.68375,0.58203,0.62071,0.47983,0.80258,2.2278,0.94922,0.00060757,0.00060757,0.00060757
11,494.25,0.76855,1.0853,1.23138,0.6895,0.63046,0.6378,0.51182,0.73881,4.25902,0.89597,0.000600967,0.000600967,0.000600967
12,538.757,0.74816,1.04599,1.2154,0.72762,0.61637,0.64797,0.50049,0.78116,2.86847,0.91609,0.000594364,0.000594364,0.000594364
13,583.361,0.74923,1.03235,1.21719,0.70717,0.63477,0.65204,0.53064,0.76601,1.77299,0.91265,0.00058776,0.00058776,0.00058776
14,627.821,0.72693,0.96562,1.19755,0.72327,0.64876,0.65131,0.52215,0.745,2.03333,0.90132,0.000581157,0.000581157,0.000581157
15,671.617,0.73375,0.99619,1.20842,0.71925,0.63788,0.6435,0.51894,0.78521,1.90678,0.93414,0.000574554,0.000574554,0.000574554
16,715.671,0.72068,0.93011,1.19123,0.73975,0.64419,0.65716,0.53338,0.76188,2.39942,0.92068,0.00056795,0.00056795,0.00056795
17,759.57,0.7038,0.94271,1.18647,0.7526,0.64455,0.69822,0.5428,0.74987,1.56729,0.88894,0.000561347,0.000561347,0.000561347
18,803.284,0.70668,0.91075,1.18295,0.76111,0.59804,0.67899,0.53507,0.73182,1.92781,0.88319,0.000554744,0.000554744,0.000554744
19,847.592,0.69811,0.88064,1.17083,0.78531,0.66918,0.69876,0.5647,0.73348,1.41805,0.8813,0.000548141,0.000548141,0.000548141
20,892.102,0.69125,0.89465,1.16781,0.75359,0.65427,0.67613,0.5501,0.74303,2.05196,0.90728,0.000541537,0.000541537,0.000541537
21,935.678,0.69888,0.88802,1.17247,0.73064,0.64611,0.67096,0.55148,0.74493,1.90063,0.88815,0.000534934,0.000534934,0.000534934
22,978.978,0.68728,0.83927,1.16454,0.76662,0.66322,0.69119,0.56131,0.74121,1.58782,0.90395,0.000528331,0.000528331,0.000528331
23,1022.34,0.66793,0.81773,1.15059,0.71988,0.66249,0.67165,0.54029,0.73772,1.60829,0.87542,0.000521727,0.000521727,0.000521727
24,1066.05,0.66545,0.8406,1.15898,0.79301,0.65782,0.74597,0.60102,0.73417,2.19455,0.87785,0.000515124,0.000515124,0.000515124
25,1109.26,0.66454,0.81151,1.15602,0.73845,0.68329,0.69682,0.57041,0.71825,1.45883,0.88537,0.000508521,0.000508521,0.000508521
26,1152.46,0.66351,0.81153,1.14827,0.80971,0.67899,0.70447,0.57641,0.70833,1.09659,0.86694,0.000501917,0.000501917,0.000501917
27,1196.22,0.66274,0.78007,1.14244,0.74534,0.66307,0.67762,0.55951,0.7331,1.35963,0.90516,0.000495314,0.000495314,0.000495314
28,1239.78,0.64305,0.79013,1.13464,0.80244,0.67425,0.71121,0.58239,0.72716,1.39451,0.86323,0.000488711,0.000488711,0.000488711
29,1283.1,0.64514,0.77896,1.14408,0.78509,0.68942,0.71293,0.57542,0.696,1.31196,0.8417,0.000482108,0.000482108,0.000482108
