epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5344.61,1.04206,0.47478,1.07629,0.98716,0.94579,0.97591,0.70299,1.06976,0.40609,1.09467,0.005842,0.005842,0.005842
44,5505.85,1.04042,0.47209,1.07694,0.98247,0.94464,0.97724,0.71147,1.06232,0.40514,1.09616,0.005743,0.005743,0.005743
45,5654.27,1.03996,0.4778,1.07275,0.97698,0.95399,0.97824,0.70733,1.07038,0.41048,1.09366,0.005644,0.005644,0.005644
46,5816.12,1.02342,0.46497,1.06453,0.98235,0.94852,0.97738,0.70812,1.06351,0.40278,1.09166,0.005545,0.005545,0.005545
47,5974.16,1.03535,0.47063,1.06596,0.98588,0.94305,0.97626,0.711,1.05761,0.40656,1.08658,0.005446,0.005446,0.005446
48,6129.35,1.03917,0.46637,1.07271,0.97896,0.95034,0.97667,0.70926,1.06545,0.40585,1.09211,0.005347,0.005347,0.005347
49,6284.41,1.01957,0.45661,1.05904,0.9839,0.94662,0.97786,0.71179,1.06169,0.39314,1.08714,0.005248,0.005248,0.005248
50,6440.73,1.02345,0.4556,1.06372,0.98124,0.95125,0.97754,0.7143,1.05591,0.39701,1.08755,0.005149,0.005149,0.005149
51,6594.53,1.01792,0.45445,1.06407,0.98115,0.94989,0.97827,0.72071,1.05263,0.39722,1.08481,0.00505,0.00505,0.00505
52,6724.44,1.02174,0.45434,1.0669,0.98687,0.94989,0.97787,0.71381,1.06153,0.39358,1.08511,0.004951,0.004951,0.004951
53,6881.24,1.01029,0.44711,1.05819,0.98071,0.94977,0.97874,0.71426,1.05399,0.38591,1.08646,0.004852,0.004852,0.004852
54,7036.72,1.00889,0.4465,1.05729,0.98299,0.948,0.97772,0.71879,1.05105,0.38464,1.08439,0.004753,0.004753,0.004753
55,7202.53,1.0163,0.44825,1.06286,0.98395,0.94946,0.97869,0.71544,1.05615,0.38637,1.0876,0.004654,0.004654,0.004654
56,7361.13,1.0081,0.44033,1.0588,0.98312,0.9467,0.9779,0.71755,1.05765,0.38595,1.08885,0.004555,0.004555,0.004555
57,7516.95,1.00743,0.44197,1.05873,0.98156,0.9508,0.97821,0.71873,1.05346,0.38208,1.08791,0.004456,0.004456,0.004456
58,7671.32,1.00212,0.44058,1.05823,0.98349,0.9498,0.97957,0.72073,1.0561,0.38398,1.08457,0.004357,0.004357,0.004357
59,7825.59,0.99553,0.43588,1.04924,0.9808,0.95399,0.97985,0.71742,1.04777,0.37769,1.08064,0.004258,0.004258,0.004258
60,7979.93,0.99121,0.43023,1.05214,0.97988,0.95411,0.97776,0.71731,1.05207,0.37801,1.0843,0.004159,0.004159,0.004159
