epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1707.99,1.1654,1.10375,1.42316,0.89373,0.60134,0.66383,0.41658,1.32179,0.85256,1.54534,0.0005941,0.0005941,0.0005941
43,1733.12,1.16465,1.0335,1.41243,0.88981,0.63553,0.6739,0.42255,1.28678,0.83405,1.5165,0.0005842,0.0005842,0.0005842
44,1756.57,1.18847,1.12394,1.43696,0.88916,0.61651,0.68395,0.4269,1.31435,0.81361,1.5367,0.0005743,0.0005743,0.0005743
45,1780.06,1.12651,1.02557,1.39981,0.84024,0.61172,0.6485,0.39377,1.34449,0.89913,1.56642,0.0005644,0.0005644,0.0005644
46,1804.55,1.13418,1.06307,1.40201,0.90691,0.63296,0.69291,0.4397,1.27123,0.81561,1.50025,0.0005545,0.0005545,0.0005545
47,1829.03,1.11633,0.98101,1.37114,0.91147,0.64106,0.68505,0.4339,1.28565,0.80585,1.52624,0.0005446,0.0005446,0.0005446
48,1860.65,1.11536,0.98028,1.37553,0.89257,0.63448,0.67746,0.43242,1.27227,0.80638,1.51877,0.0005347,0.0005347,0.0005347
49,1884.75,1.15085,0.99151,1.39531,0.89757,0.64524,0.68667,0.43446,1.28101,0.78672,1.50751,0.0005248,0.0005248,0.0005248
50,1907.24,1.10372,0.98028,1.37365,0.88404,0.63055,0.67223,0.42917,1.29046,0.78708,1.52328,0.0005149,0.0005149,0.0005149
51,1928.13,1.10216,0.97072,1.35253,0.92516,0.62296,0.68784,0.43887,1.27394,0.78792,1.49467,0.000505,0.000505,0.000505
52,1948.72,1.09287,0.9382,1.35008,0.92139,0.62126,0.68627,0.44285,1.25985,0.78801,1.49915,0.0004951,0.0004951,0.0004951
53,1969.88,1.10287,0.94072,1.37028,0.89212,0.64593,0.68535,0.43073,1.3153,0.82039,1.53344,0.0004852,0.0004852,0.0004852
54,1999.03,1.08283,0.9442,1.36323,0.91085,0.65702,0.69592,0.44574,1.24883,0.76529,1.48015,0.0004753,0.0004753,0.0004753
55,2027.95,1.08521,0.93794,1.34836,0.9226,0.62666,0.68354,0.44874,1.24444,0.76533,1.47941,0.0004654,0.0004654,0.0004654
56,2050,1.08888,0.93902,1.35121,0.91437,0.63678,0.68293,0.43878,1.27425,0.78344,1.51612,0.0004555,0.0004555,0.0004555
57,2072.32,1.08677,0.94984,1.35497,0.89476,0.65051,0.68573,0.44979,1.24189,0.75252,1.46249,0.0004456,0.0004456,0.0004456
58,2094.76,1.05546,0.89867,1.33037,0.9187,0.63862,0.68098,0.44253,1.25103,0.7592,1.48296,0.0004357,0.0004357,0.0004357
59,2116.85,1.05875,0.91116,1.3344,0.9112,0.63752,0.69206,0.44908,1.23193,0.74201,1.47342,0.0004258,0.0004258,0.0004258
60,2139.47,1.03779,0.88942,1.32596,0.90497,0.66186,0.69572,0.45441,1.24922,0.73741,1.48691,0.0004159,0.0004159,0.0004159
61,2173.43,1.06563,0.8874,1.33579,0.90886,0.64588,0.69515,0.45907,1.2087,0.72727,1.43958,0.000406,0.000406,0.000406
62,2202.86,1.06848,0.87527,1.34818,0.90924,0.64343,0.69065,0.45061,1.21709,0.73703,1.46157,0.0003961,0.0003961,0.0003961
63,2228.39,1.0764,0.87359,1.35906,0.9088,0.64947,0.68686,0.45345,1.22904,0.74463,1.45683,0.0003862,0.0003862,0.0003862
64,2251.67,1.02956,0.83651,1.32715,0.9339,0.65405,0.70271,0.46553,1.20385,0.70095,1.44575,0.0003763,0.0003763,0.0003763
65,2274.27,1.06333,0.83704,1.33912,0.89273,0.67244,0.69552,0.45615,1.20281,0.71872,1.43228,0.0003664,0.0003664,0.0003664
66,2299.29,1.03458,0.88332,1.31426,0.91955,0.64959,0.69438,0.46332,1.19087,0.70445,1.43643,0.0003565,0.0003565,0.0003565
67,2320.48,1.0278,0.82228,1.30282,0.93189,0.66167,0.70612,0.4651,1.19438,0.70839,1.43827,0.0003466,0.0003466,0.0003466
68,2343.66,1.05869,0.84658,1.34647,0.90958,0.66925,0.70504,0.46309,1.21187,0.70557,1.44775,0.0003367,0.0003367,0.0003367
69,2364.55,1.0163,0.82551,1.30106,0.90672,0.6535,0.697,0.46238,1.20358,0.70143,1.43917,0.0003268,0.0003268,0.0003268
70,2385.11,1.01874,0.83193,1.30354,0.7039,0.67372,0.7063,0.46578,1.19753,0.69596,1.4422,0.0003169,0.0003169,0.0003169
71,2405.8,1.01838,0.86855,1.2957,0.90649,0.67768,0.70354,0.46858,1.19159,0.70398,1.44121,0.000307,0.000307,0.000307
72,2426.84,0.9932,0.8515,1.30271,0.89267,0.67676,0.6976,0.46293,1.19591,0.68848,1.44274,0.0002971,0.0002971,0.0002971
73,2447.86,0.99024,0.81732,1.28029,0.9134,0.6601,0.6962,0.4593,1.20945,0.68354,1.45395,0.0002872,0.0002872,0.0002872
